base_title,release_date,popularity,is_rerecording,album_base_title,nyt_article_count
The Life of a Showgirl,2025-10-03,100,False,The Life of a Showgirl,12
THE TORTURED POETS DEPARTMENT,2024-04-18,82,False,,0
1989,2023-10-26,82,True,1989,1
Speak Now,2023-07-07,80,True,,0
Midnights,2022-10-21,82,False,,0
Red,2021-11-12,83,True,Red,5
Fearless,2021-04-09,81,True,Fearless,4
evermore,2021-01-07,77,False,evermore,3
folklore,2020-08-18,75,False,folklore,6
Lover,2019-08-23,88,False,,0
reputation,2017-11-10,86,False,reputation,10
Taylor Swift,2006-10-24,67,False,,0
