album_id,album_name,album_base_title,album_release_date,pub_date,headline,snippet,section,source,news_desk,type_of_material,web_url,match_in
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,2025-10-03,2025-10-10T14:12:31Z,Why Is Taylor Swift So Polarizing? And Other Big ‘Showgirl’ Questions,"Our team of Swift experts debate her blockbuster new album, “The Life of a Showgirl,” and take listener questions about its themes and controversies.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2025/10/10/arts/music/popcast-taylor-swift-showgirl-reader-questions.html,snippet
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,2025-10-03,2025-08-18T09:03:25Z,Anticipating Taylor Swift’s ‘The Life of a Showgirl’,"The singer’s 12th album is being teased as a pivot back to pop bangers. On Popcast, we break down why (and why she announced it the way she did).",Arts,The New York Times,Culture,News,https://www.nytimes.com/2025/08/18/arts/music/taylor-swift-showgirl-popcast.html,headline
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,2025-10-03,2025-10-04T09:01:20Z,Breaking Down Taylor Swift’s ‘The Life of a Showgirl’,"For a rapid-response episode of Popcast, we journeyed track-by-track through the pop star’s new album, assessing the highs, lows and hot gossip.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2025/10/04/arts/music/taylor-swift-showgirl-popcast.html,headline
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,2025-10-03,2025-08-12T04:18:26Z,"Taylor Swift Announces New Album, ‘The Life of a Showgirl’","The singer-songwriter revealed the name of her 12th original studio album in a surprise announcement, but no other details.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2025/08/12/arts/music/taylor-swift-album-the-life-of-a-showgirl.html,headline
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,2025-10-03,2025-10-06T15:28:11Z,Taylor Swift Keeps Getting Bigger. Can the Music Keep Up?,"“The Life of a Showgirl” dominated streaming, conversation and movie theaters this weekend. But reaction to the album — especially its lyrics — was mixed.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2025/10/06/arts/music/taylor-swift-the-life-of-a-showgirl-analysis.html,snippet
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,2025-10-03,2025-09-30T09:04:16Z,When Did You Know Taylor Swift Would Be a Pop Superstar?,"Look back at six pivotal moments as the singer and songwriter prepares to release her 12th original studio album, “The Life of a Showgirl.”",Arts,The New York Times,Culture,News,https://www.nytimes.com/2025/09/30/arts/music/taylor-swift-pop-star-moments.html,snippet
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,2025-10-03,2025-10-08T19:45:34Z,A Taylor Swift Mystery: Which Musso and Frank’s Booth Is ‘Best’?,"The pop star name dropped the storied Hollywood restaurant on her new album, “The Life of a Showgirl,” and the restaurant confirmed she is a customer. But which booth does she prefer?",Food,The New York Times,Dining,News,https://www.nytimes.com/2025/10/08/dining/taylor-swifts-musso-and-franks.html,snippet
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,2025-10-03,2025-10-02T09:01:43Z,Taylor Swift Conquered With the Eras Tour. Now Comes the Victory Lap.,"The star’s power and reach has grown with each of her releases. Now she’s following her record-breaking live show with her 12th original studio LP, “The Life of a Showgirl.”",Arts,The New York Times,Weekend,News,https://www.nytimes.com/2025/10/02/arts/music/taylor-swift-life-of-a-showgirl-eras-tour.html,snippet
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,2025-10-03,2025-10-03T18:52:48Z,Taylor Swift Fans Try to Decode ‘The Life of a Showgirl’,Speculation abounds as to which songs have references to the various celebrities in Ms. Swift’s life.,Style,The New York Times,Styles,News,https://www.nytimes.com/2025/10/03/style/taylor-swift-showgirl-charli-xcx-actually-romantic.html,headline
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,2025-10-03,2025-10-01T09:02:20Z,"When Taylor Swift Met Pop’s Supreme Hitmaker, Max Martin","The pop star and the Swedish producer connected on her 2012 LP, “Red.” They’ve reunited (with his collaborator Shellback) for “The Life of a Showgirl.”",Arts,The New York Times,Culture,News,https://www.nytimes.com/2025/10/01/arts/music/taylor-swift-max-martin-shellback-showgirl.html,snippet
